,kezdő napja,záró napja,0-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,84-89,90-120,Összesen
0,2014. december 29.,2015. január 4.,41,17,21,48,106,157,270,258,301,388,502,423,268,2 800
1,2015. január 5.,2015. január 11.,36,9,43,56,93,202,291,295,329,402,498,407,344,3 005
2,2015. január 12.,2015. január 18.,34,17,21,52,100,175,262,257,348,415,458,448,313,2 900
3,2015. január 19.,2015. január 25.,40,22,23,55,98,181,281,296,335,402,507,460,305,3 005
4,2015. január 26.,2015. február 1.,32,18,37,46,85,183,266,284,341,428,498,505,344,3 067
5,2015. február 2.,2015. február 8.,36,13,30,70,112,179,267,347,393,456,549,520,378,3 350
6,2015. február 9.,2015. február 15.,24,25,33,55,92,176,267,326,354,426,609,536,357,3 280
7,2015. február 16.,2015. február 22.,43,18,32,44,84,199,268,301,395,459,542,572,392,3 349
8,2015. február 23.,2015. március 1.,29,19,31,52,96,169,264,243,375,421,536,525,360,3 120
9,2015. március 2.,2015. március 8.,34,16,29,61,101,176,223,290,311,412,512,478,319,2 962
10,2015. március 9.,2015. március 15.,32,19,22,61,98,157,251,270,326,359,463,454,265,2 777
11,2015. március 16.,2015. március 22.,27,21,29,47,108,172,235,267,328,390,450,393,297,2 764
12,2015. március 23.,2015. március 29.,29,18,22,46,96,169,256,254,319,367,464,392,258,2 690
13,2015. március 30.,2015. április 5.,30,22,31,46,75,171,240,260,300,369,440,380,275,2 639
14,2015. április 6.,2015. április 12.,31,16,25,52,75,172,268,248,286,345,455,343,296,2 612
15,2015. április 13.,2015. április 19.,26,24,33,46,75,137,259,250,301,371,438,393,259,2 612
16,2015. április 20.,2015. április 26.,28,22,30,59,75,157,228,268,303,347,407,404,270,2 598
17,2015. április 27.,2015. május 3.,34,17,33,50,76,156,200,246,315,306,433,333,268,2 467
18,2015. május 4.,2015. május 10.,37,11,35,54,76,146,220,246,265,290,423,347,270,2 420
19,2015. május 11.,2015. május 17.,38,16,28,38,89,147,239,238,251,326,367,320,196,2 293
20,2015. május 18.,2015. május 24.,28,19,24,49,75,159,233,218,255,307,365,317,225,2 274
21,2015. május 25.,2015. május 31.,34,16,31,46,75,141,235,230,246,279,329,313,202,2 177
22,2015. június 1.,2015. június 7.,46,6,27,40,86,162,219,276,301,324,383,333,231,2 434
23,2015. június 8.,2015. június 14.,34,18,22,47,72,149,262,231,278,301,327,308,249,2 298
24,2015. június 15.,2015. június 21.,39,19,30,47,61,127,199,204,214,255,344,296,232,2 067
25,2015. június 22.,2015. június 28.,44,18,29,40,81,139,209,225,280,266,320,283,207,2 141
26,2015. június 29.,2015. július 5.,36,18,21,41,92,154,210,244,292,333,382,313,247,2 383
27,2015. július 6.,2015. július 12.,40,10,21,63,91,151,257,225,291,329,407,339,267,2 491
28,2015. július 13.,2015. július 19.,48,23,29,47,89,158,249,208,260,276,386,346,239,2 358
29,2015. július 20.,2015. július 26.,57,18,19,60,89,150,241,236,323,356,425,381,270,2 625
30,2015. július 27.,2015. augusztus 2.,32,19,25,37,72,129,194,224,218,248,326,287,209,2 020
31,2015. augusztus 3.,2015. augusztus 9.,42,13,28,44,91,125,250,245,295,311,368,328,238,2 378
32,2015. augusztus 10.,2015. augusztus 16.,33,21,39,43,105,155,249,304,314,343,436,413,292,2 747
33,2015. augusztus 17.,2015. augusztus 23.,31,12,22,47,78,128,201,191,195,271,317,300,209,2 002
34,2015. augusztus 24.,2015. augusztus 30.,32,23,26,59,69,142,212,218,246,307,349,337,262,2 282
35,2015. augusztus 31.,2015. szeptember 6.,24,18,19,47,66,137,208,215,267,323,325,337,234,2 220
36,2015. szeptember 7.,2015. szeptember 13.,34,14,26,58,82,165,211,235,232,251,358,293,233,2 192
37,2015. szeptember 14.,2015. szeptember 20.,27,17,29,53,83,159,223,252,270,317,373,360,216,2 379
38,2015. szeptember 21.,2015. szeptember 27.,33,18,27,41,79,126,228,222,261,276,345,280,211,2 147
39,2015. szeptember 28.,2015. október 4.,26,16,28,42,70,169,214,226,261,287,314,290,249,2 192
40,2015. október 5.,2015. október 11.,29,21,22,47,76,140,217,231,271,342,378,316,242,2 332
41,2015. október 12.,2015. október 18.,28,15,33,58,89,144,223,248,278,321,353,395,278,2 463
42,2015. október 19.,2015. október 25.,36,15,26,55,84,149,230,233,307,309,395,371,227,2 437
43,2015. október 26.,2015. november 1.,31,13,24,43,91,163,233,259,257,314,391,343,256,2 418
44,2015. november 2.,2015. november 8.,38,14,28,44,78,166,250,245,274,332,395,330,231,2 425
45,2015. november 9.,2015. november 15.,42,16,33,47,65,145,231,218,252,298,398,337,233,2 315
46,2015. november 16.,2015. november 22.,28,11,21,39,84,141,226,250,275,310,401,375,279,2 440
47,2015. november 23.,2015. november 29.,25,16,22,47,92,154,237,234,272,328,404,355,203,2 389
48,2015. november 30.,2015. december 6.,30,15,31,47,77,162,242,252,259,311,365,366,228,2 385
49,2015. december 7.,2015. december 13.,45,27,17,53,76,141,233,254,280,345,360,352,235,2 418
50,2015. december 14.,2015. december 20.,36,23,31,60,82,165,243,244,262,300,368,354,238,2 406
51,2015. december 21.,2015. december 27.,32,21,23,58,94,161,239,269,272,347,408,334,256,2 514
52,2015. december 28.,2016. január 3.,17,13,32,48,80,166,285,252,280,358,395,342,251,2 519
53,2016. január 4.,2016. január 10.,32,15,33,62,88,161,279,288,327,358,445,406,329,2 823
54,2016. január 11.,2016. január 17.,24,13,29,63,85,151,255,277,316,347,402,397,281,2 640
55,2016. január 18.,2016. január 24.,38,19,23,56,96,153,221,259,315,321,418,402,241,2 562
56,2016. január 25.,2016. január 31.,21,12,38,54,75,152,229,271,286,339,428,422,288,2 615
57,2016. február 1.,2016. február 7.,30,20,20,56,74,161,221,243,266,346,416,361,269,2 483
58,2016. február 8.,2016. február 14.,38,14,33,59,88,146,261,297,299,341,408,371,285,2 640
59,2016. február 15.,2016. február 21.,25,28,28,53,80,139,245,277,322,334,389,378,277,2 575
60,2016. február 22.,2016. február 28.,48,16,24,55,82,153,235,249,263,347,371,369,279,2 491
61,2016. február 29.,2016. március 6.,32,12,19,44,65,164,262,285,301,350,388,347,266,2 535
62,2016. március 7.,2016. március 13.,26,19,41,48,78,145,238,287,263,353,384,363,251,2 496
63,2016. március 14.,2016. március 20.,34,17,21,44,87,138,238,252,314,333,388,318,254,2 438
64,2016. március 21.,2016. március 27.,33,13,19,53,82,151,240,245,263,346,420,371,245,2 481
65,2016. március 28.,2016. április 3.,22,14,32,44,85,165,244,280,272,344,384,376,275,2 537
66,2016. április 4.,2016. április 10.,32,17,24,42,89,149,235,245,305,333,364,365,256,2 456
67,2016. április 11.,2016. április 17.,42,18,24,66,76,133,220,262,223,335,352,325,242,2 318
68,2016. április 18.,2016. április 24.,27,11,31,49,63,142,216,247,259,337,359,348,260,2 349
69,2016. április 25.,2016. május 1.,41,21,28,54,64,140,240,276,240,305,396,314,245,2 364
70,2016. május 2.,2016. május 8.,26,16,29,44,71,124,217,267,268,291,344,322,260,2 279
71,2016. május 9.,2016. május 15.,32,21,28,38,77,148,240,255,277,300,352,342,260,2 370
72,2016. május 16.,2016. május 22.,34,12,35,45,82,159,229,253,281,330,352,324,245,2 381
73,2016. május 23.,2016. május 29.,25,15,22,37,86,131,229,250,248,305,375,314,224,2 261
74,2016. május 30.,2016. június 5.,38,15,23,38,68,139,230,268,275,293,346,325,227,2 285
75,2016. június 6.,2016. június 12.,31,13,27,52,82,139,204,265,282,275,335,298,232,2 235
76,2016. június 13.,2016. június 19.,35,19,24,36,80,125,214,221,226,286,340,309,236,2 151
77,2016. június 20.,2016. június 26.,31,23,24,50,71,117,233,274,295,360,403,338,262,2 481
78,2016. június 27.,2016. július 3.,35,17,27,56,74,143,229,285,222,312,339,326,238,2 303
79,2016. július 4.,2016. július 10.,40,12,21,36,69,131,171,236,246,288,373,266,213,2 102
80,2016. július 11.,2016. július 17.,37,16,28,49,73,144,229,245,266,314,348,298,229,2 276
81,2016. július 18.,2016. július 24.,40,11,24,46,77,126,205,254,240,319,344,280,244,2 210
82,2016. július 25.,2016. július 31.,30,14,22,47,78,136,243,239,276,297,341,329,225,2 277
83,2016. augusztus 1.,2016. augusztus 7.,27,16,28,46,60,130,213,221,269,325,353,321,212,2 221
84,2016. augusztus 8.,2016. augusztus 14.,37,12,25,46,70,127,226,209,270,263,333,303,199,2 120
85,2016. augusztus 15.,2016. augusztus 21.,29,13,26,34,72,131,223,208,261,293,375,330,227,2 222
86,2016. augusztus 22.,2016. augusztus 28.,17,19,17,50,64,141,230,221,273,316,362,317,214,2 241
87,2016. augusztus 29.,2016. szeptember 4.,31,17,26,47,82,137,250,215,278,345,361,305,226,2 320
88,2016. szeptember 5.,2016. szeptember 11.,30,15,25,43,80,113,246,223,260,321,304,338,248,2 246
89,2016. szeptember 12.,2016. szeptember 18.,37,10,33,47,81,161,227,243,290,307,371,327,231,2 365
90,2016. szeptember 19.,2016. szeptember 25.,37,16,29,41,71,138,215,235,246,289,373,325,248,2 263
91,2016. szeptember 26.,2016. október 2.,33,11,35,45,82,166,228,234,285,336,355,367,246,2 423
92,2016. október 3.,2016. október 9.,35,23,31,49,75,122,245,290,262,347,358,352,258,2 447
93,2016. október 10.,2016. október 16.,26,14,20,51,89,144,235,285,272,344,398,367,293,2 538
94,2016. október 17.,2016. október 23.,28,20,20,45,68,139,251,260,287,340,392,373,270,2 493
95,2016. október 24.,2016. október 30.,26,9,24,42,93,139,205,258,308,313,427,388,295,2 527
96,2016. október 31.,2016. november 6.,16,18,25,46,81,155,237,271,265,328,390,353,273,2 458
97,2016. november 7.,2016. november 13.,26,19,27,49,77,131,238,289,265,321,416,365,248,2 471
98,2016. november 14.,2016. november 20.,33,11,28,58,59,152,251,252,306,334,356,376,267,2 483
99,2016. november 21.,2016. november 27.,31,15,32,47,81,130,243,284,303,330,386,363,294,2 539
100,2016. november 28.,2016. december 4.,22,13,32,46,77,151,246,282,313,333,422,366,237,2 540
101,2016. december 5.,2016. december 11.,34,18,28,49,76,165,280,293,307,329,397,396,263,2 635
102,2016. december 12.,2016. december 18.,33,8,22,44,88,146,260,266,308,324,423,368,295,2 585
103,2016. december 19.,2016. december 25.,31,16,29,54,91,163,269,316,317,348,446,430,335,2 845
104,2016. december 26.,2017. január 1.,23,18,35,51,83,133,249,320,347,378,433,467,360,2 897
105,2017. január 2.,2017. január 8.,43,14,40,56,83,159,282,369,326,443,487,476,377,3 155
106,2017. január 9.,2017. január 15.,17,21,40,58,115,158,320,344,369,442,542,519,366,3 311
107,2017. január 16.,2017. január 22.,33,11,33,57,96,157,341,344,381,455,601,529,411,3 449
108,2017. január 23.,2017. január 29.,44,20,39,66,93,189,355,344,404,482,563,546,429,3 574
109,2017. január 30.,2017. február 5.,38,17,38,56,91,180,336,396,369,480,577,586,452,3 616
110,2017. február 6.,2017. február 12.,30,13,31,69,88,165,286,344,338,451,536,495,410,3 256
111,2017. február 13.,2017. február 19.,32,13,26,44,82,136,287,300,330,388,486,493,374,2 991
112,2017. február 20.,2017. február 26.,40,10,22,51,83,171,282,317,315,409,432,416,342,2 890
113,2017. február 27.,2017. március 5.,18,14,30,60,94,153,239,281,308,369,384,402,316,2 668
114,2017. március 6.,2017. március 12.,32,15,22,47,86,131,235,293,285,382,438,379,326,2 671
115,2017. március 13.,2017. március 19.,32,12,24,51,81,124,245,267,305,350,426,412,253,2 582
116,2017. március 20.,2017. március 26.,34,19,27,50,92,121,223,277,305,365,412,386,273,2 584
117,2017. március 27.,2017. április 2.,32,15,25,40,80,132,251,275,284,363,374,354,321,2 546
118,2017. április 3.,2017. április 9.,38,17,29,42,59,123,241,278,300,319,354,380,242,2 422
119,2017. április 10.,2017. április 16.,37,13,17,35,75,145,246,277,303,343,404,323,274,2 492
120,2017. április 17.,2017. április 23.,28,13,11,51,87,145,254,260,264,339,411,394,270,2 527
121,2017. április 24.,2017. április 30.,32,16,24,39,77,130,220,254,292,376,375,360,285,2 480
122,2017. május 1.,2017. május 7.,39,20,31,44,71,124,224,285,304,342,370,345,280,2 479
123,2017. május 8.,2017. május 14.,35,18,24,46,66,141,238,261,253,306,368,359,225,2 340
124,2017. május 15.,2017. május 21.,31,19,24,45,70,121,220,262,268,337,377,314,235,2 323
125,2017. május 22.,2017. május 28.,24,7,21,51,82,137,225,239,246,324,310,311,232,2 209
126,2017. május 29.,2017. június 4.,35,16,22,55,68,118,229,249,313,350,348,341,238,2 382
127,2017. június 5.,2017. június 11.,28,12,27,28,81,119,226,204,274,289,326,304,208,2 126
128,2017. június 12.,2017. június 18.,27,25,22,59,77,102,198,232,247,307,323,312,214,2 145
129,2017. június 19.,2017. június 25.,23,17,18,48,80,130,257,235,236,317,368,327,241,2 297
130,2017. június 26.,2017. július 2.,41,9,20,39,56,97,192,229,233,312,373,328,207,2 136
131,2017. július 3.,2017. július 9.,25,19,26,44,77,124,205,228,235,287,314,339,220,2 143
132,2017. július 10.,2017. július 16.,28,18,27,52,69,112,247,237,282,294,386,336,200,2 288
133,2017. július 17.,2017. július 23.,26,11,23,47,82,130,213,241,268,297,344,360,229,2 271
134,2017. július 24.,2017. július 30.,28,24,25,53,58,125,210,259,273,299,323,275,188,2 140
135,2017. július 31.,2017. augusztus 6.,43,15,29,56,92,140,237,314,301,323,423,400,284,2 657
136,2017. augusztus 7.,2017. augusztus 13.,33,14,22,47,66,102,225,251,263,320,331,367,251,2 292
137,2017. augusztus 14.,2017. augusztus 20.,29,11,24,43,60,136,181,243,272,281,333,317,217,2 147
138,2017. augusztus 21.,2017. augusztus 27.,30,13,27,28,80,119,221,238,249,276,324,320,230,2 155
139,2017. augusztus 28.,2017. szeptember 3.,28,10,21,47,94,122,194,240,269,320,344,336,214,2 239
140,2017. szeptember 4.,2017. szeptember 10.,23,18,29,59,77,115,203,250,262,291,318,311,230,2 186
141,2017. szeptember 11.,2017. szeptember 17.,30,17,22,53,68,141,223,231,258,295,364,344,244,2 290
142,2017. szeptember 18.,2017. szeptember 24.,27,17,25,51,79,151,225,245,277,325,328,326,236,2 312
143,2017. szeptember 25.,2017. október 1.,30,14,20,58,78,124,227,251,271,311,364,351,252,2 351
144,2017. október 2.,2017. október 8.,32,11,25,50,62,110,226,258,270,319,385,396,284,2 428
145,2017. október 9.,2017. október 15.,34,23,28,47,69,145,232,299,280,362,355,358,264,2 496
146,2017. október 16.,2017. október 22.,22,21,15,48,90,108,250,267,276,319,336,370,235,2 357
147,2017. október 23.,2017. október 29.,35,14,22,49,72,144,240,253,265,293,374,324,253,2 338
148,2017. október 30.,2017. november 5.,38,16,30,55,59,133,251,260,278,311,349,356,261,2 397
149,2017. november 6.,2017. november 12.,34,20,22,49,66,123,240,270,275,302,343,333,247,2 324
150,2017. november 13.,2017. november 19.,30,6,26,52,87,126,246,273,269,329,366,349,264,2 423
151,2017. november 20.,2017. november 26.,42,16,35,53,73,135,224,287,309,334,376,364,255,2 503
152,2017. november 27.,2017. december 3.,26,13,24,45,68,139,222,272,313,304,409,341,261,2 437
153,2017. december 4.,2017. december 10.,24,26,19,56,82,143,252,293,317,354,403,399,287,2 655
154,2017. december 11.,2017. december 17.,35,11,42,40,78,133,235,287,267,369,379,372,332,2 580
155,2017. december 18.,2017. december 24.,34,12,27,56,78,158,245,318,269,343,399,387,279,2 605
156,2017. december 25.,2017. december 31.,40,15,21,53,86,138,262,286,286,369,407,376,289,2 628
157,2018. január 1.,2018. január 7.,28,18,20,49,86,140,247,279,287,351,397,386,307,2 595
158,2018. január 8.,2018. január 14.,32,15,27,48,62,125,247,269,272,337,425,414,273,2 546
159,2018. január 15.,2018. január 21.,23,17,37,45,75,148,253,265,320,404,414,399,275,2 675
160,2018. január 22.,2018. január 28.,30,20,30,49,78,132,262,294,271,361,412,408,308,2 655
161,2018. január 29.,2018. február 4.,34,17,27,47,67,131,265,295,329,354,436,420,309,2 731
162,2018. február 5.,2018. február 11.,37,13,34,36,85,150,265,283,314,370,435,476,335,2 833
163,2018. február 12.,2018. február 18.,34,17,29,49,86,130,285,320,353,426,464,492,352,3 037
164,2018. február 19.,2018. február 25.,29,18,34,47,84,149,329,337,358,413,487,491,385,3 161
165,2018. február 26.,2018. március 4.,34,18,32,66,87,128,306,335,358,475,524,491,383,3 237
166,2018. március 5.,2018. március 11.,27,17,39,72,91,146,287,346,377,444,509,486,377,3 218
167,2018. március 12.,2018. március 18.,31,14,38,61,74,143,283,326,334,403,494,445,370,3 016
168,2018. március 19.,2018. március 25.,28,18,29,51,97,143,278,308,311,387,425,449,354,2 878
169,2018. március 26.,2018. április 1.,41,12,26,47,82,131,243,293,314,375,461,423,326,2 774
170,2018. április 2.,2018. április 8.,36,14,40,39,93,150,245,290,311,361,376,369,298,2 622
171,2018. április 9.,2018. április 15.,37,17,35,44,89,110,240,317,310,304,409,389,275,2 576
172,2018. április 16.,2018. április 22.,29,19,33,45,68,125,243,235,268,335,356,324,256,2 336
173,2018. április 23.,2018. április 29.,30,12,18,45,69,122,217,247,276,343,355,317,249,2 300
174,2018. április 30.,2018. május 6.,23,15,34,44,67,135,227,239,269,303,330,362,246,2 294
175,2018. május 7.,2018. május 13.,32,15,21,50,67,131,198,253,244,286,332,309,222,2 160
176,2018. május 14.,2018. május 20.,30,11,32,42,77,136,199,235,243,261,344,324,220,2 154
177,2018. május 21.,2018. május 27.,33,15,30,37,77,122,235,256,263,289,404,336,255,2 352
178,2018. május 28.,2018. június 3.,28,18,27,43,57,121,241,283,295,297,377,347,259,2 393
179,2018. június 4.,2018. június 10.,29,11,32,49,87,111,240,248,245,304,321,334,217,2 228
180,2018. június 11.,2018. június 17.,30,18,30,42,89,117,244,253,267,301,308,302,242,2 243
181,2018. június 18.,2018. június 24.,25,11,28,38,59,117,199,262,253,292,340,308,256,2 188
182,2018. június 25.,2018. július 1.,30,12,26,38,71,112,210,230,246,298,315,308,244,2 140
183,2018. július 2.,2018. július 8.,34,9,27,47,71,105,197,241,276,308,331,342,237,2 225
184,2018. július 9.,2018. július 15.,38,12,26,44,68,124,199,264,278,334,335,339,224,2 285
185,2018. július 16.,2018. július 22.,34,12,25,39,65,122,236,277,273,286,347,324,225,2 265
186,2018. július 23.,2018. július 29.,29,6,36,46,94,139,235,263,290,329,371,332,219,2 389
187,2018. július 30.,2018. augusztus 5.,38,14,23,50,61,124,231,302,285,333,381,357,280,2 479
188,2018. augusztus 6.,2018. augusztus 12.,32,23,26,52,81,124,214,260,274,342,376,335,280,2 419
189,2018. augusztus 13.,2018. augusztus 19.,28,7,28,39,74,114,209,245,279,304,340,311,221,2 199
190,2018. augusztus 20.,2018. augusztus 26.,35,12,27,39,89,108,187,241,301,344,346,354,240,2 323
191,2018. augusztus 27.,2018. szeptember 2.,27,11,21,48,70,113,208,267,254,332,323,310,270,2 254
192,2018. szeptember 3.,2018. szeptember 9.,34,16,37,45,82,128,220,258,257,308,344,316,222,2 267
193,2018. szeptember 10.,2018. szeptember 16.,32,15,24,40,79,116,259,265,251,330,373,321,251,2 356
194,2018. szeptember 17.,2018. szeptember 23.,33,13,24,43,85,103,237,277,279,318,351,350,272,2 385
195,2018. szeptember 24.,2018. szeptember 30.,30,10,26,47,87,140,221,286,275,302,346,340,252,2 362
196,2018. október 1.,2018. október 7.,24,14,31,37,90,117,224,286,304,336,373,385,277,2 498
197,2018. október 8.,2018. október 14.,29,15,27,31,80,134,236,266,274,357,382,361,320,2 512
198,2018. október 15.,2018. október 21.,31,15,34,55,63,144,232,262,252,315,394,365,270,2 432
199,2018. október 22.,2018. október 28.,27,17,27,48,64,121,240,291,287,317,351,361,258,2 409
200,2018. október 29.,2018. november 4.,17,19,17,45,72,128,224,272,280,320,364,341,262,2 361
201,2018. november 5.,2018. november 11.,25,9,26,46,75,123,221,258,265,318,364,344,288,2 362
202,2018. november 12.,2018. november 18.,29,11,35,53,92,123,213,276,291,334,322,374,255,2 408
203,2018. november 19.,2018. november 25.,28,14,21,62,74,153,219,266,327,373,391,365,262,2 555
204,2018. november 26.,2018. december 2.,31,12,34,41,90,111,226,311,293,334,414,370,292,2 559
205,2018. december 3.,2018. december 9.,29,16,30,50,70,134,267,260,309,387,402,422,268,2 644
206,2018. december 10.,2018. december 16.,21,14,35,35,79,133,264,299,332,377,400,387,301,2 677
